Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname Bundesland;Abgabe
02293;20041201;20250506;315;50.1918;8.0888;Hohenstein-Breithardt;Hessen;Frei
02294;20040701;20250506;468;48.6572;12.0887;Hohenthann;Bayern;Frei
02302;19910101;19921231;317;50.9632;11.4847;Hohlstedt-Kötschau;Thüringen;Frei
02303;19790101;20250505;10;54.3162;9.5385;Hohn;Schleswig-Holstein;Frei
02306;20050801;20250505;8;54.3194;10.6732;Hohwacht;Schleswig-Holstein;Frei
02315;19911101;20250505;78;51.7657;13.1666;Holzdorf-Bernsdorf;Brandenburg;Frei
02319;20050601;20250505;685;47.8823;11.6961;Holzkirchen;Bayern;Frei
02320;19821201;20000331;680;47.8735;11.7092;Holzkirchen/Obb;Bayern;Frei
02323;20060701;20250505;110;51.8529;9.4953;Bevern, Kr. Holzminden;Niedersachsen;Frei
02324;19760101;20061231;440;51.7659;9.5447;Holzminden-Silberborn;Niedersachsen;Frei
02329;20040901;20250506;255;50.2446;8.5725;Homburg, Bad (Filterwerk);Hessen;Frei
02331;20040801;20250506;235;49.3278;7.3533;Homburg/Saar;Saarland;Frei
02338;19790101;20051223;39;52.3333;7.5500;Hopsten (Flugplatz);Nordrhein-Westfalen;Frei
02349;19891030;20250505;1138;48.6136;8.2033;Hornisgrinde;Baden-Württemberg;Frei
02355;20051001;20250506;4;53.1228;8.4205;Hude/Oldenburg;Niedersachsen;Frei
02360;19510101;19771231;438;48.6018;11.6769;Hüll;Bayern;Frei
02362;20040801;20250505;331;50.5651;7.4843;Hümmerich;Rheinland-Pfalz;Frei
02372;20070501;20250506;605;50.5467;12.5707;Stützengrün-Hundshübel;Sachsen;Frei
02374;19490101;19740623;3;54.4752;9.0564;Husum;Schleswig-Holstein;Frei
02376;20051201;20250506;455;48.6549;13.5077;Büchlberg-Tannöd;Bayern;Frei
02377;19810101;20250505;362;47.7001;7.5895;Kandern-Gupf;Baden-Württemberg;Frei
02385;19930301;20250505;376;49.6927;7.3263;Idar-Oberstein;Rheinland-Pfalz;Frei
02387;20040801;20250506;622;48.0443;10.7375;Buchloe;Bayern;Frei
02388;20050301;20250201;193;48.0419;7.6322;Ihringen;Baden-Württemberg;Frei
02405;20041201;20250506;959;47.6078;10.2020;Immenstadt-Reute;Bayern;Frei
02409;20090101;20250506;367;48.7663;11.4537;Ingolstadt (Flussmeisterstelle);Bayern;Frei
02410;19930112;20250505;364;48.7111;11.5363;Ingolstadt-Manching;Bayern;Frei
02412;20060302;20250506;683;47.7756;12.7240;Inzell;Bayern;Frei
02415;20050201;20250506;713;47.8177;11.8681;Irschenberg-Kasthub;Bayern;Frei
02416;20050101;20250506;549;48.2022;12.0382;Isen-Westach;Bayern;Frei
02417;19610101;19941231;621;48.1644;12.0307;Mittbach;Bayern;Frei
02423;20040301;20050702;712;47.6894;10.0416;Isny;Baden-Württemberg;Frei
02429;19930301;20250505;20;53.9897;9.5697;Itzehoe;Schleswig-Holstein;Frei
02431;20041001;20250506;367;50.1337;10.9317;Itzgrund-Herreth;Bayern;Frei
02436;19930201;20061230;55;52.0547;13.2344;Jänickendorf;Brandenburg;
02437;19790101;20250505;21;54.4570;9.5203;Schleswig-Jagel;Schleswig-Holstein;Frei
02438;20080401;20250506;41;53.4277;13.8167;Uckerland-Karlstein;Brandenburg;Frei
02444;20040801;20250505;155;50.9251;11.5830;Jena (Sternwarte);Thüringen;Frei
02453;20041104;20250506;403;48.1780;12.3798;Jettenbach;Bayern;Frei
02456;19790101;20050826;7;53.5322;7.8806;Jever;Niedersachsen;Frei
02457;20230203;20250506;380;50.5516;12.1832;Pöhl-Jocketa;Sachsen;Frei
02464;19510101;19901031;1;53.5316;9.6752;Jork;Niedersachsen;Frei
02465;20020701;20250506;0;53.5083;9.7376;Jork-Moorende;Niedersachsen;Frei
02473;20041201;20250506;76;50.9316;6.3431;Jülich (Kläranlage);Nordrhein-Westfalen;Frei
02474;19710101;20081230;91;50.9104;6.4093;Jülich (Forsch.-Anlage);Nordrhein-Westfalen;Frei
02477;19710101;19760101;728;47.5938;7.9597;Jungholz (Kühmoos);Baden-Württemberg;
02480;20040901;20250505;108;50.0643;8.9930;Kahl/Main;Bayern;Frei
02482;19781201;19800430;741;51.1806;8.4900;Kahler Asten (A);Nordrhein-Westfalen;Frei
02483;19541207;20250505;839;51.1803;8.4891;Kahler Asten;Nordrhein-Westfalen;Frei
02485;20110502;20250505;489;48.9170;9.6871;Kaisersbach-Cronhütte;Baden-Württemberg;Frei
02486;20050301;20250505;271;49.4262;7.7557;Kaiserslautern;Rheinland-Pfalz;Frei
02488;19820101;20021001;516;48.7701;10.7876;Kaisheim-Neuhof;Bayern;Frei
02493;19800101;19940531;2;54.4333;10.3667;Kalifornien;Schleswig-Holstein;
02494;19930301;20131020;31;51.7329;6.2688;Kalkar;Nordrhein-Westfalen;Frei
02497;20040801;20250505;505;50.5014;6.5264;Kall-Sistig;Nordrhein-Westfalen;Frei
02500;20040911;20250506;570;50.3953;6.9896;Kaltenborn, Hohe Acht;Rheinland-Pfalz;Frei
02503;19750701;20030502;487;50.6266;10.1455;Kaltennordheim;Thüringen;Frei
02518;20051101;20250506;34;54.0117;13.4999;Groß Kiesow-Schlagtow;Mecklenburg-Vorpommern;Frei
02521;19820101;19940401;376;48.6725;11.3092;Karlshuld;Bayern;Frei
02522;19490101;20081031;112;49.0382;8.3641;Karlsruhe;Baden-Württemberg;Frei
02531;20040701;20250506;32;53.1724;11.7491;Karstädt/Prignitz;Brandenburg;Frei
02532;19490101;20131101;231;51.2963;9.4424;Kassel;Hessen;Frei
02533;18910101;19601231;198;51.3340;9.4506;Kassel-Harleshausen;Hessen;Frei
02536;19840301;19921226;283;51.3173;9.4145;Kassel-Wilhelmshöhe (A);Hessen;
02538;20050601;20250506;425;49.3658;11.6925;Kastl, Kreis Amberg-Sulzbach;Bayern;Frei
02541;20021101;20250506;452;50.5467;11.0317;Katzhütte;Thüringen;Frei
02542;20040601;20160401;716;47.8652;10.6007;Kaufbeuren;Bayern;Frei
02546;20070501;20250506;140;48.5576;7.8800;Kehl-Odelshofen;Baden-Württemberg;Frei
02550;20060111;20250506;350;48.9244;11.8500;Kelheim;Bayern;Frei
02556;20041101;20210401;460;49.8671;11.8807;Kemnath;Bayern;Frei
02559;19490101;20250505;705;47.7233;10.3348;Kempten;Bayern;Frei
02562;20090301;20250506;428;51.3340;10.5290;Helbedündorf-Keula;Thüringen;Frei
02563;19960701;20021130;490;47.6299;12.1802;Kiefersfelden (Blaik);Bayern;Frei
02564;19790101;20250505;28;54.3776;10.1424;Kiel-Holtenau;Schleswig-Holstein;Frei
02565;19490101;19881014;17;54.3378;10.0929;Kiel-Kronshagen;Schleswig-Holstein;Frei
02573;19870610;20250505;470;47.9588;12.7717;Waging am See-Schnöbling;Bayern;Frei
02575;20070523;20250505;432;49.1804;9.9800;Kirchberg/Jagst-Herboldshausen;Baden-Württemberg;Frei
02577;20051001;20250506;34;52.6007;8.8522;Kirchdorf, Kreis Diepholz;Niedersachsen;Frei
02578;20040701;20250505;14;53.9995;11.4341;Kirchdorf/Poel;Mecklenburg-Vorpommern;Frei
02580;19820501;20061230;545;49.5856;11.4275;Kirchensittenbach-Hohenstein;Bayern;Frei
02595;20040701;20250506;181;49.7890;7.4853;Kirn;Rheinland-Pfalz;Frei
02597;19490101;20250505;282;50.2240;10.0792;Kissingen, Bad;Bayern;Frei
02600;20050301;20250505;193;49.7363;10.1781;Kitzingen;Bayern;Frei
02601;19490101;20250505;822;50.2218;8.4469;Kleiner Feldberg/Taunus;Hessen;Frei
02611;19520101;19701231;115;52.0714;11.3605;Klein Wanzleben;Sachsen-Anhalt;Frei
02618;20041001;20250505;732;50.8458;10.4803;Kleiner Inselsberg;Thüringen;Frei
02619;20040911;20250506;447;49.8939;7.1885;Kleinich, Kr. Bernkastel-Wittlich;Rheinland-Pfalz;Frei
02625;20040701;20250506;39;52.7390;12.4984;Kleßen;Brandenburg;Frei
02627;20040701;20250505;128;51.5554;13.8845;Schipkau-Klettwitz;Brandenburg;Frei
02629;20040701;20250505;46;51.7612;6.0954;Kleve;Nordrhein-Westfalen;Frei
02638;19490101;20250505;974;48.1054;8.7548;Klippeneck;Baden-Württemberg;Frei
02641;20040901;20250505;90;51.5185;12.9065;Klitzschen bei Torgau;Sachsen;Frei
02656;19490524;19891214;96;50.3519;7.5906;Koblenz;Rheinland-Pfalz;Frei
02660;20040711;20250506;824;47.5542;11.2913;Jachenau-Obernach;Bayern;Frei
02662;20061201;20250506;59;52.5233;11.1261;Köckte;Sachsen-Anhalt;Frei
02665;19510101;19601231;45;50.9615;6.9712;Köln-Botanischer Garten;Nordrhein-Westfalen;Frei
02667;19490101;20250505;91;50.8645;7.1575;Köln/Bonn;Nordrhein-Westfalen;Frei
02673;20070801;20250506;53;52.1331;11.7757;Königsborn;Sachsen-Anhalt;Frei
02677;20061010;20250506;730;48.1413;8.4285;Königsfeld/Schwarzwald;Baden-Württemberg;Frei
02680;20050601;20250505;289;50.2840;10.4456;Königshofen, Bad;Bayern;Frei
02689;20041101;20250506;40;53.2279;9.6527;Königsmoor;Niedersachsen;Frei
02691;19940401;19941101;378;48.6707;11.2173;Königsmoos-Untermaxfeld;Bayern;Frei
02693;19510101;19660101;380;50.1855;8.4698;Königstein/Taunus;Hessen;Frei
02700;20041201;20250505;416;48.8302;11.4872;Kösching;Bayern;Frei
02701;19941001;20070330;136;51.1329;11.7252;Kösen, Bad;Sachsen-Anhalt;Frei
02703;19790101;20001011;496;51.8550;9.3239;Köterberg;Nordrhein-Westfalen;Frei
02704;20040501;20250505;76;51.7511;12.0094;Köthen (Anhalt);Sachsen-Anhalt;Frei
02708;20060701;20250505;742;47.6652;11.0805;Kohlgrub, Bad (Rosshof);Bayern;Frei
02709;20041101;20250506;230;49.9164;10.2363;Kolitzheim;Bayern;Frei
02712;19520502;20250505;428;47.6952;9.1307;Konstanz;Baden-Württemberg;Frei
02713;19510101;19720930;398;47.6600;9.1649;Konstanz (Stadtgärtnerei);Baden-Württemberg;Frei
02718;20021101;20250506;458;51.2880;8.7928;Korbach-Rhena;Hessen;Frei
02733;20041101;20250506;46;52.7277;13.0121;Kremmen-Groß Ziethen;Brandenburg;Frei
02734;20060101;20250506;1;54.3237;9.0247;Krempel;Schleswig-Holstein;Frei
02738;20221024;20250505;776;47.6448;11.7438;Kreuth;Bayern;Frei
02740;20050501;20250506;897;47.6105;11.6462;Kreuth-Glashütte;Bayern;Frei
02745;19850101;19920630;246;49.8022;9.5556;Kreuzwertheim-Unterwittbach;Bayern;
02749;20040801;20250506;52;54.0805;11.7425;Biendorf-Gersdorf;Mecklenburg-Vorpommern;Frei
02750;20051101;20250505;310;50.2524;11.3209;Kronach;Bayern;Frei
02757;19720101;19831231;238;47.9077;7.7020;Krozingen, Bad;Baden-Württemberg;
02758;19800701;19900630;202;47.9585;7.6578;Krozingen, Bad-Hausen;Baden-Württemberg;
02759;20060110;20250506;873;47.5041;11.2814;Krün;Bayern;Frei
02761;19750601;19780601;520;48.2510;10.4163;Krumbach-Edenhausen;Bayern;Frei
02763;20051201;20250506;1;53.5039;7.1217;Norden-Leybuchtpolder;Niedersachsen;Frei
02771;19840501;20040630;323;49.6672;9.5222;Külsheim;Baden-Württemberg;Frei
02773;19930301;20250505;416;49.4283;11.9016;Kümmersbruck;Bayern;Frei
02779;20041101;20250506;59;53.1486;12.0851;Kuhbier;Brandenburg;Frei
02783;19710101;19920831;436;48.5126;12.1513;Kumhausen;Bayern;Frei
02787;20050101;20250506;355;49.2428;9.6786;Kupferzell-Rechbach;Baden-Württemberg;Frei
02792;20040801;20250506;494;48.3737;10.7605;Diedorf/Schwaben-Biburg;Bayern;Frei
02794;19900611;20250505;40;52.9362;12.4093;Kyritz;Brandenburg;Frei
02796;19911101;20250505;40;53.9156;12.2790;Laage-Kronskamp;Mecklenburg-Vorpommern;Frei
02798;19790101;19990514;32;51.6000;6.1500;Laarbruch;Nordrhein-Westfalen;
02810;20061201;20250506;150;51.9446;8.7749;Lage, Kreis Lippe-Hörste;Nordrhein-Westfalen;Frei
02812;19950104;20250505;156;48.3647;7.8280;Lahr;Baden-Württemberg;Frei
02814;20021101;20250505;687;48.5122;9.7644;Merklingen;Baden-Württemberg;Frei
02822;20041001;20250506;26;53.6369;9.0979;Lamstedt;Niedersachsen;Frei
02825;20040911;20110803;525;49.2845;7.9124;Landau-Taubensuhl;Rheinland-Pfalz;
02829;19790101;20180710;617;48.0772;10.9144;Landsberg (Flugplatz);Bayern;Frei
02839;20061201;20250506;210;51.9262;10.3461;Langelsheim-Astfeld;Niedersachsen;Frei
02844;20071001;20250506;9;53.6956;8.6291;Langen-Holßel, Kreis Cuxhaven;Niedersachsen;Frei
02850;20061101;20250506;778;48.1994;9.3327;Langenenslingen-Ittenhausen;Baden-Württemberg;Frei
02853;20230203;20250506;275;50.7672;12.3541;Langenhessen/Koberbach;Sachsen;Frei
02856;20040701;20250505;92;51.9173;13.0878;Langenlipsdorf;Brandenburg;Frei
02860;20041201;20250506;371;49.5076;10.7885;Langenzenn;Bayern;Frei
02861;19510101;19830630;5;53.7445;7.4775;Langeoog;Niedersachsen;Frei
02878;20170801;20250505;117;51.3909;11.8786;Lauchstädt, Bad;Sachsen-Anhalt;Frei
02880;20050711;20250506;319;49.5522;9.6345;Lauda-Königshofen-Heckfeld;Baden-Württemberg;Frei
02884;20100101;20250506;310;49.5042;11.2736;Lauf/Pegnitz;Bayern;Frei
02885;20060104;20250506;430;47.9522;12.8978;Laufen/Obb.-Lebenau;Bayern;Frei
02886;19890412;20250505;539;48.2175;9.9097;Laupheim;Baden-Württemberg;Frei
02889;19710101;19781031;300;51.6323;10.4737;Lauterberg, Bad (A);Niedersachsen;Frei
02890;20060901;20250506;306;51.5957;10.4630;Lauterberg,Bad-Bartolfelde;Niedersachsen;Frei
02897;19900830;20250505;522;50.5808;9.2857;Lautertal-Hörgenau;Hessen;Frei
02900;20071201;20250506;208;49.7090;8.6908;Lautertal/Odenwald-Reichenbach;Hessen;Frei
02905;19790101;20250505;550;48.1849;10.8507;Lechfeld;Bayern;Frei
02906;19710101;19741031;5;54.7750;8.9808;Leck (A);Schleswig-Holstein;Frei
02907;19790101;20250505;7;54.7903;8.9514;Leck;Schleswig-Holstein;Frei
02920;19820101;19841101;365;48.7654;12.5121;Leiblfing;Bayern;Frei
02925;19760401;20250505;356;51.3932;10.3123;Leinefelde;Thüringen;Frei
02926;19710101;19891231;477;48.4333;10.2333;Leipheim (Flugplatz);Bayern;Frei
02928;19970407;20250505;138;51.3151;12.4462;Leipzig-Holzhausen;Sachsen;Frei
02931;19590101;19720430;128;51.3920;12.3962;Leipzig-Mockau;Sachsen;Frei
02932;19750701;20250505;131;51.4347;12.2396;Leipzig/Halle;Sachsen;Frei
02947;20061001;20250505;286;51.1333;8.0348;Lennestadt-Theten;Nordrhein-Westfalen;Frei
02949;19510101;19751231;758;48.5396;9.5275;Lenningen-Schopfloch;Baden-Württemberg;Frei
02951;20040601;20250505;20;53.1007;11.4864;Lenzen/Elbe;Brandenburg;Frei
02953;20070401;20250505;854;47.8597;8.2308;Lenzkirch-Ruhbühl;Baden-Württemberg;Frei
02954;19870401;20041228;990;47.8919;8.1788;Lenzkirch-Saig;Baden-Württemberg;
02958;20041001;20250506;204;51.0265;14.9357;Ostritz;Sachsen;Frei
02961;19790101;20250505;0;54.4996;10.2737;Leuchtturm Kiel;Schleswig-Holstein;Frei
02968;20081201;20240902;43;50.9894;6.9777;Köln-Stammheim;Nordrhein-Westfalen;Frei
02979;20230203;20250506;518;50.8111;13.4502;Lichtenberg/Erzgeb.;Sachsen;Frei
02985;19910305;20250505;321;50.9383;14.2094;Lichtenhain-Mittelndorf;Sachsen;Frei
02988;20040701;20250506;162;51.4882;9.2493;Liebenau-Haueda;Hessen;Frei
02992;20041101;20250506;495;50.5275;11.6605;Remptendorf;Thüringen;Frei
02996;20061009;20161027;352;48.7726;8.7287;Liebenzell, Bad;Baden-Württemberg;Frei
02997;20040701;20250506;50;51.9861;14.3044;Lieberose;Brandenburg;Frei
02999;20040701;20250506;55;52.1211;7.8699;Lienen-Kattenvenne;Nordrhein-Westfalen;Frei
03001;19710101;19900531;284;48.0674;7.6770;Liliental;Baden-Württemberg;Frei
03004;19610101;19870330;185;50.4116;8.0605;Limburg/Lahn-Offheim;Hessen;Frei
03005;19870401;19981231;175;50.3710;8.0713;Limburg/Lahn-Blumenrod (Zeppelinstr.);Hessen;Frei
03012;20041105;20250506;750;49.0315;13.3272;Lindberg-Buchenau;Bayern;Frei
03015;19750701;20250505;98;52.2085;14.1180;Lindenberg;Brandenburg;Frei
03017;19840701;20100331;341;49.6800;8.7823;Lindenfels;Hessen;Frei
03023;19501001;20161231;22;52.5181;7.3081;Lingen;Niedersachsen;Frei
03024;20040911;20250506;485;50.0940;7.5675;Lingerhahn/Hunsrück;Rheinland-Pfalz;Frei
03028;19710401;20250505;157;51.7854;8.8388;Lippspringe, Bad;Nordrhein-Westfalen;Frei
03031;20040701;20250505;92;51.6336;8.3945;Lippstadt-Bökenförde;Nordrhein-Westfalen;Frei
03032;19490101;20250505;25;55.0110;8.4125;List auf Sylt;Schleswig-Holstein;Frei
03034;20070101;20250505;496;50.4505;11.6350;Lobenstein, Bad;Thüringen;Frei
03042;20080601;20250505;230;50.5617;8.2386;Löhnberg-Obershausen;Hessen;Frei
03044;20070701;20180601;22;52.7198;7.7472;Löningen;Niedersachsen;Frei
03046;19800201;19910331;20;52.7333;7.7333;Löningen-Schnetlage;Niedersachsen;Frei
03056;19510101;19701231;161;50.0103;9.6100;Lohr/Main-Steinbach;Bayern;Frei
03080;20041001;20250506;521;50.5131;11.3664;Ludwigsstadt-Lauenstein;Bayern;Frei
03081;20071201;20250506;65;52.3452;8.6477;Espelkamp-Isenstedt;Nordrhein-Westfalen;Frei
03083;20050101;20250505;57;51.9267;13.8797;Lübben-Blumenfelde;Brandenburg;Frei
03085;19490101;19850214;15;53.8773;10.6915;Lübeck;Schleswig-Holstein;Frei
03086;19850215;20250505;15;53.8025;10.6989;Lübeck-Blankensee;Schleswig-Holstein;Frei
03093;19490101;20250505;16;52.9724;11.1374;Lüchow;Niedersachsen;Frei
03094;20061101;20250506;166;51.3122;14.0499;Kamenz-Cunnersdorf;Sachsen;Frei
03096;19690101;19951231;444;51.2131;7.6359;Lüdenscheid (Zeppelin-Gymnasium);Nordrhein-Westfalen;Frei
03097;19880217;19930910;421;51.2000;7.6333;Lüdenscheid (Flugplatz);Nordrhein-Westfalen;Frei
03098;19940112;20250505;387;51.2452;7.6425;Lüdenscheid;Nordrhein-Westfalen;Frei
03101;19710101;19950926;58;51.7694;7.4128;Lüdinghausen;Nordrhein-Westfalen;Frei
03103;19761201;19971231;11;53.2657;10.4240;Lüneburg;Niedersachsen;Frei
03121;20040901;20250506;677;49.9113;12.5276;Mähring;Bayern;Frei
03126;19750701;20250505;79;52.1029;11.5827;Magdeburg;Sachsen-Anhalt;Frei
03136;20021101;20250506;102;50.1294;8.8209;Mühlheim/Main;Hessen;Frei
03137;20080501;20250505;199;49.9658;8.2049;Mainz-Lerchenberg (ZDF);Rheinland-Pfalz;Frei
03138;19790101;19890216;200;49.9798;8.1668;Mainz-Finthen;Rheinland-Pfalz;
03139;19831101;20050101;509;48.2166;11.2965;Maisach-Gernlinden;Bayern;Frei
03141;19831101;19840531;513;48.2167;11.2667;Maisach/Obb.;Bayern;Frei
03145;19981201;20080901;30;54.1800;10.5528;Malente, Bad-Gremsmühlen;Schleswig-Holstein;
03146;20041101;20250506;31;53.2141;11.3686;Malk Göhren;Mecklenburg-Vorpommern;Frei
03147;20130901;20250505;390;48.7548;12.2118;Mallersdorf-Pfaffenberg-Oberlindhart;Bayern;Frei
03148;20061101;20070619;40;53.2113;11.3247;Malliß;Mecklenburg-Vorpommern;Frei
03153;20041001;20250506;449;48.6189;12.6233;Mamming-Schneiderberg;Bayern;Frei
03155;20040801;20250505;415;50.1015;6.8009;Manderscheid-Sonnenhof;Rheinland-Pfalz;Frei
03158;19900611;20250505;12;52.5468;14.5453;Manschnow;Brandenburg;Frei
03162;18910101;20051129;178;50.7755;8.7612;Marburg-Cappel;Hessen;Frei
03164;20060701;20250505;187;50.8492;8.7745;Cölbe, Kr. Marburg-Biedenkopf;Hessen;Frei
03166;19900611;20250505;639;50.6511;13.1469;Marienberg;Sachsen;Frei
03167;19490101;20250505;547;50.6621;7.9603;Marienberg, Bad;Rheinland-Pfalz;Frei
03170;19930701;20121221;9;54.4937;11.2411;Marienleuchte;Schleswig-Holstein;Frei
03175;20070208;20070209;504;50.5219;12.8282;Raschau;Sachsen;Frei
03179;20040801;20250506;320;49.6660;10.3851;Markt Bibart;Bayern;Frei
03181;20210801;20250505;360;49.4875;10.6277;Markt Erlbach-Hagenhofen;Bayern;Frei
03190;20041004;20250506;790;47.7196;10.6433;Marktoberdorf-Sulzschneid;Bayern;Frei
03192;20050301;20250506;506;47.7046;13.0372;Marktschellenberg;Bayern;Frei
03195;19740101;19871130;2;53.9500;8.9833;Marner Deich;Schleswig-Holstein;Frei
03196;19770420;20250429;81;53.3221;11.9324;Marnitz;Mecklenburg-Vorpommern;Frei
03204;20080701;20250505;429;50.7335;10.8815;Martinroda;Thüringen;Frei
03205;20050801;20250506;33;52.6579;13.1790;Marwitz (Wasserwerk);Brandenburg;Frei
03207;20041201;20250506;328;50.1798;10.2720;Maßbach;Bayern;Frei
03211;19510101;20061230;1012;48.9359;13.5746;Mauth-Finsterau;Bayern;Frei
03215;20070601;20250506;375;51.1683;8.7125;Medebach-Berge;Nordrhein-Westfalen;Frei
03217;20060801;20250506;22;54.8373;9.1481;Weesby;Schleswig-Holstein;Frei
03220;20060109;20250506;450;50.3571;10.8832;Meeder-Ottowind;Bayern;Frei
03226;20060801;20250505;107;51.7259;11.5109;Aschersleben-Mehringen;Sachsen-Anhalt;Frei
03227;19510101;19801231;216;51.8936;8.9842;Meinberg, Bad;Nordrhein-Westfalen;Frei
03228;19810101;19970331;506;51.0976;7.6670;Meinerzhagen (A);Nordrhein-Westfalen;Frei
03231;19790101;20250505;450;50.5611;10.3771;Meiningen;Thüringen;Frei
03234;20050201;20250505;158;51.1294;13.4328;Klipphausen-Garsebach;Sachsen;Frei
03238;20110601;20250506;3;53.9497;13.9742;Mellenthin-Dewichow;Mecklenburg-Vorpommern;Frei
03244;20090801;20250505;614;47.9821;10.1384;Memmingen;Bayern;Frei
03245;19790101;20021120;630;47.9833;10.2333;Memmingen (Flugplatz);Bayern;Frei
03246;19930301;20070614;181;50.3667;7.3167;Mendig;Rheinland-Pfalz;Frei
03247;20070501;20250506;559;48.0557;9.3185;Mengen-Ennetach;Baden-Württemberg;Frei
03248;20070401;20250506;516;50.3904;11.1324;Frankenblick-Mengersgereuth-Hämmern;Thüringen;Frei
03254;19700401;20250505;19;52.7155;7.3176;Meppen;Niedersachsen;Frei
03256;19850101;19891031;193;48.0167;7.6667;Merdingen;Baden-Württemberg;Frei
03257;20040601;20250505;278;49.4797;9.7832;Mergentheim, Bad;Baden-Württemberg;Frei
03258;20060111;20250506;508;48.2707;10.9772;Mering (Bauhof);Bayern;Frei
03263;20040901;20250506;171;49.4566;6.6266;Merzig;Saarland;Frei
03268;19930301;20250505;900;48.1694;8.9433;Meßstetten-Appental;Baden-Württemberg;Frei
03271;20041101;20250505;314;48.8548;12.9189;Metten;Bayern;Frei
03272;20040911;20110428;89;49.7395;8.3288;Mettenheim/Rheinh.;Rheinland-Pfalz;
03274;19921001;19941001;415;49.5070;6.5215;Mettlach-Orscholz (Kurort);Saarland;Frei
03278;20030101;20250505;354;48.5377;9.2734;Metzingen;Baden-Württemberg;Frei
03279;20021101;20250506;172;51.0452;12.2989;Meuselwitz;Thüringen;Frei
03280;20040701;20250506;98;53.3083;12.2937;Meyenburg;Brandenburg;Frei
03284;20050501;20250505;240;49.6692;9.0085;Michelstadt;Hessen;Frei
03287;19871005;20250505;453;49.7177;9.0997;Michelstadt-Vielbrunn;Hessen;Frei
03289;20041101;20250505;356;50.7281;11.7838;Schmieritz-Weltwitz;Thüringen;Frei
03293;20060101;20250506;590;48.0640;10.4839;Mindelheim;Bayern;Frei
03297;20050701;20250506;64;53.2681;12.7221;Krümmel;Mecklenburg-Vorpommern;Frei
03300;19781201;19930531;155;50.2285;9.1064;Mittel-Gründau;Hessen;Frei
03304;20070401;20250506;294;51.2327;10.7694;Freienbessingen;Thüringen;Frei
03307;20080401;20250505;983;47.4814;11.2649;Mittenwald-Buckelwiesen;Bayern;Frei
03308;20050801;20250506;75;53.1846;13.6545;Mittenwalde/Uckermark;Brandenburg;Frei
03317;19810101;20061230;42;53.6128;10.6943;Mölln;Schleswig-Holstein;Frei
03319;20060901;20250505;239;49.7644;9.2530;Röllbach;Bayern;Frei
03321;20230419;20250505;76;51.1313;6.3608;Mönchengladbach-Hilderath;Nordrhein-Westfalen;Frei
03328;20210201;20250506;19;51.4769;6.6101;Moers-Repelen;Nordrhein-Westfalen;
03339;20060901;20250506;541;50.5202;6.2084;Monschau-Kalterherberg;Nordrhein-Westfalen;Frei
03340;20050501;20220329;265;50.4383;7.8061;Montabaur;Rheinland-Pfalz;Frei
03342;20050301;20250506;0;53.3110;7.4329;Moormerland-Neermoor;Niedersachsen;Frei
03348;20040601;20250505;241;51.7209;9.8351;Moringen-Lutterbeck;Niedersachsen;Frei
03362;19790101;20250505;243;48.9721;8.8735;Mühlacker;Baden-Württemberg;Frei
03364;20040701;20250506;286;50.8681;10.8211;Drei Gleichen-Mühlberg;Thüringen;Frei
03366;19530101;20250505;406;48.2790;12.5024;Mühldorf;Bayern;Frei
03369;19800101;20060315;42;53.6000;10.4833;Mühlenrade;Schleswig-Holstein;Frei
03376;20040601;20250505;64;52.5176;14.1232;Müncheberg;Brandenburg;Frei
03379;19790101;20250505;515;48.1632;11.5429;München-Stadt;Bayern;Frei
03382;19480101;19540101;521;48.1441;11.6000;München-Bogenhausen;Bayern;Frei
03385;19820101;19990331;515;48.1660;11.5011;München-Nymphenburg;Bayern;Frei
03390;19490101;19920516;529;48.1369;11.7094;München-Riem;Bayern;Frei
03397;19770101;20061231;116;52.1880;9.4597;Münder, Bad;Niedersachsen;Frei
03402;20021101;20250505;755;48.3851;9.4837;Münsingen-Apfelstetten;Baden-Württemberg;Frei
03404;19490101;19891002;62;51.9494;7.5906;Münster;Nordrhein-Westfalen;Frei
03413;20040701;20250506;155;50.4522;8.7317;Münzenberg-Gambach;Hessen;Frei
03418;20070101;20250506;594;48.2754;9.6355;Ehingen-Kirchen;Baden-Württemberg;Frei
03421;19730101;19970930;84;53.0013;10.1349;Munster/Heide;Niedersachsen;Frei
03426;20040601;20250505;127;51.5660;14.7008;Muskau, Bad;Sachsen;Frei
03429;20060111;20250506;366;49.4497;12.1874;Nabburg (Flussmeisterstelle);Bayern;Frei
03432;20050415;20250506;380;48.5675;8.7179;Nagold;Baden-Württemberg;Frei
03435;20021101;20250506;477;48.5235;11.8398;Nandlstadt;Bayern;Frei
03438;20041201;20250506;401;48.8016;11.2181;Nassenfels;Bayern;Frei
03440;20050901;20250506;531;48.7071;10.2997;Nattheim-Fleinheim;Baden-Württemberg;Frei
03442;20041001;20250505;149;50.3574;8.7506;Nauheim, Bad;Hessen;Frei
03443;20041201;20170701;304;51.2748;9.1975;Naumburg-Altenstädt;Hessen;Frei
03445;20041101;20250506;100;51.9245;12.8888;Jessen (Elster)-Naundorf;Sachsen-Anhalt;Frei
03448;20100610;20250506;117;49.3945;8.8045;Neckargemünd-Kleingemünd;Baden-Württemberg;Frei
